Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
73,North Texas,CUSA,18-5,+10.75,106.6,95.9,58.6,+.094,+1.12,104.9,103.8,+1.55
74,Wake Forest,ACC,14-9,+10.73,114.9,104.1,68.9,-.011,+5.36,106.6,101.3,-1.20
75,St. John's,BE,14-8,+10.27,108.4,98.2,73.3,+.024,+4.15,106.4,102.2,-6.04
76,Marshall,SB,18-5,+10.18,111.4,101.2,71.3,-.077,-4.63,102.8,107.4,-4.63
77,Charleston,CAA,21-2,+9.74,110.3,100.6,70.2,+.078,-3.66,103.6,107.3,-0.60
78,VCU,A10,16-6,+9.49,104.6,95.1,68.8,+.006,-0.92,103.6,104.6,-1.89
79,Saint Louis,A10,15-6,+9.36,112.5,103.1,68.6,+.068,+2.33,105.0,102.7,+4.42
80,BYU,WCC,14-10,+9.26,104.6,95.4,70.1,-.084,+4.04,107.0,102.9,+1.58
81,UNLV,MWC,14-7,+9.20,107.5,98.3,69.5,-.010,+3.60,106.3,102.7,-1.41
82,Drake,MVC,17-6,+9.02,106.7,97.7,66.4,+.019,-1.42,103.8,105.3,-1.17
83,Yale,Ivy,14-6,+8.68,109.2,100.6,65.8,-.047,-1.99,102.6,104.6,-0.18
84,Iona,MAAC,14-7,+8.66,108.4,99.7,69.1,-.026,-0.34,104.2,104.5,+4.30
85,Loyola Marymount,WCC,16-7,+8.60,108.8,100.2,67.5,+.037,+2.11,107.4,105.3,+0.77
86,Syracuse,ACC,13-10,+8.45,110.9,102.5,67.1,-.041,+2.47,107.1,104.6,-4.17
87,Tulane,Amer,13-7,+8.33,111.5,103.1,72.6,-.025,+0.04,104.7,104.7,-6.27
88,UC Santa Barbara,BW,17-3,+8.15,107.1,99.0,65.0,+.019,-4.22,101.9,106.1,-3.87
89,Utah Valley,WAC,17-6,+8.00,107.0,99.0,68.6,+.047,+1.54,105.6,104.0,+3.90
90,Bradley,MVC,15-8,+7.87,106.6,98.7,65.6,-.013,-1.37,103.1,104.4,+0.48
91,Furman,SC,17-6,+7.78,113.5,105.7,68.7,-.019,-2.52,103.9,106.4,-2.16
92,Vanderbilt,SEC,10-11,+7.66,111.9,104.3,65.7,-.054,+7.04,107.7,100.6,+1.54
93,Santa Clara,WCC,16-7,+7.39,109.9,102.5,69.9,+.087,+3.03,106.8,103.7,+0.47
94,UC Irvine,BW,14-7,+7.19,108.6,101.4,68.9,-.049,+0.25,103.6,103.3,+3.25
95,James Madison,SB,15-8,+7.09,105.7,98.6,70.4,-.098,-2.48,102.7,105.2,-4.02
96,Southern Miss,SB,19-4,+7.04,107.7,100.7,67.6,+.058,-2.76,103.5,106.3,-3.51
97,San Francisco,WCC,15-9,+6.86,109.0,102.1,69.2,-.019,+0.86,105.0,104.2,-3.35
98,Stanford,P12,9-12,+6.73,108.5,101.7,65.8,-.143,+3.94,105.9,102.0,+0.10
99,Mississippi,SEC,9-12,+6.47,106.3,99.9,65.6,-.057,+7.14,107.7,100.5,+1.89
100,Hofstra,CAA,15-8,+6.35,109.8,103.5,67.2,+.056,+1.78,105.3,103.6,+7.75
101,Louisiana,SB,18-4,+6.32,112.4,106.0,68.8,+.103,-1.24,103.3,104.5,+0.14
102,Georgia,SEC,14-7,+6.30,106.1,99.8,67.6,+.056,+0.16,104.7,104.6,-7.09
103,Nebraska,B10,10-13,+6.30,103.9,97.6,65.9,+.015,+11.69,110.9,99.2,+2.99
104,Charlotte,CUSA,13-8,+6.10,108.3,102.2,60.7,-.050,-1.79,103.6,105.4,-6.10
105,Cornell,Ivy,15-5,+6.05,115.3,109.3,71.3,-.023,-2.95,102.8,105.7,-3.39
106,Temple,Amer,14-9,+5.91,105.8,99.9,66.3,+.058,+3.29,105.7,102.4,+1.16
107,Akron,MAC,16-6,+5.63,106.6,101.0,64.5,+.045,-3.28,103.4,106.6,-0.43
108,Toledo,MAC,16-6,+5.58,116.7,111.1,70.4,+.035,-2.69,103.9,106.6,-0.83
109,Butler,BE,11-12,+5.31,105.4,100.1,66.2,+.003,+9.27,109.3,100.0,+1.49
110,Montana St.,BSky,15-8,+5.26,104.9,99.6,66.9,+.014,-0.35,105.8,106.1,+4.26
111,Southern Utah,WAC,15-7,+5.24,109.1,103.9,71.7,+.029,+2.31,105.1,102.8,+4.46
112,Princeton,Ivy,14-6,+5.17,108.8,103.6,66.7,+.001,-2.40,103.1,105.5,-4.24
113,Washington,P12,13-10,+5.07,105.7,100.6,68.8,+.084,+6.11,106.4,100.3,-1.14
114,Colorado St.,MWC,10-12,+4.97,110.7,105.7,66.4,-.082,+5.50,106.9,101.4,+1.76
115,San Jose St.,MWC,13-9,+4.88,109.7,104.9,62.3,+.054,+3.72,106.4,102.7,-2.31
116,Seattle,WAC,16-6,+4.70,103.2,98.5,68.7,+.118,+0.60,105.1,104.5,+0.16
117,Colgate,Pat,17-7,+4.54,112.8,108.3,67.1,+.006,-5.18,101.6,106.8,-0.31
118,Southern Illinois,MVC,17-6,+4.37,102.3,97.9,63.7,+.079,-2.14,103.5,105.6,-2.26
119,Wichita St.,Amer,11-10,+4.26,103.3,99.0,65.5,-.054,+1.12,105.0,103.9,-1.90
120,Grand Canyon,WAC,14-8,+4.15,109.4,105.3,64.1,+.018,+0.48,103.9,103.4,-0.48
121,Youngstown St.,Horz,17-6,+4.04,114.0,109.9,67.6,-.034,-6.11,102.6,108.8,-4.74
122,Middle Tennessee,CUSA,13-9,+4.02,104.7,100.6,66.9,+.029,+2.89,107.2,104.3,+2.63
123,Indiana St.,MVC,14-9,+3.99,106.8,102.8,71.2,-.092,-3.14,102.4,105.5,-6.34
124,Stephen F. Austin,WAC,15-7,+3.89,106.3,102.4,68.8,-.004,-1.04,103.6,104.6,-1.02
125,Duquesne,A10,14-8,+3.76,108.8,105.1,67.3,+.022,-1.66,104.2,105.9,-4.57
126,Quinnipiac,MAAC,16-6,+3.69,105.1,101.4,69.5,-.008,-3.79,101.5,105.3,-2.10
127,Hawaii,BW,16-6,+3.66,103.0,99.3,65.0,-.017,-4.75,101.4,106.1,-5.87
128,LSU,SEC,12-9,+3.61,105.5,101.9,65.3,+.107,+4.33,106.1,101.8,-5.97
129,Belmont,MVC,16-7,+3.25,108.9,105.7,67.6,+.093,-0.83,103.8,104.6,+0.56
130,UNC Greensboro,SC,14-9,+2.97,99.1,96.1,65.8,+.004,-0.55,106.4,107.0,+3.59
131,South Florida,Amer,9-13,+2.84,106.8,104.0,68.3,-.148,+0.33,104.5,104.2,-5.74
132,Richmond,A10,11-11,+2.80,104.3,101.5,64.9,-.045,+0.24,105.1,104.9,-2.41
133,Towson,CAA,16-7,+2.77,107.2,104.4,63.0,+.004,-5.36,101.7,107.1,-3.52
134,George Mason,A10,12-10,+2.73,105.1,102.3,66.4,-.029,-0.54,104.9,105.4,-1.28
135,DePaul,BE,9-13,+2.46,107.3,104.8,68.6,+.023,+7.28,108.6,101.3,+2.51
136,Vermont,AE,12-10,+2.35,105.4,103.1,64.3,+.009,+0.35,105.2,104.9,+4.89
137,Samford,SC,14-9,+2.32,110.0,107.6,66.3,-.035,-3.15,103.9,107.0,-2.01
138,Missouri St.,MVC,11-11,+2.29,105.0,102.7,62.5,-.055,+0.86,104.0,103.2,+2.66
139,Cal Baptist,WAC,13-9,+2.23,103.7,101.4,63.9,-.057,-3.47,102.3,105.8,-6.21
140,Troy,SB,13-10,+2.10,103.5,101.4,67.5,-.064,+0.16,104.0,103.9,+0.14
141,Davidson,A10,10-11,+2.07,106.0,103.9,65.8,-.042,+1.59,105.0,103.4,-1.11
142,Kennesaw St.,ASun,17-6,+2.02,105.7,103.7,68.7,+.145,-1.33,105.1,106.4,+5.05
143,Cal St. Fullerton,BW,12-11,+2.01,102.7,100.7,64.6,-.056,+0.69,104.4,103.7,+2.93
144,Siena,MAAC,15-7,+1.95,105.2,103.2,66.8,+.023,-3.49,101.8,105.3,-1.19
145,Penn,Ivy,11-11,+1.93,109.4,107.5,66.2,-.048,+0.17,104.8,104.7,-0.28
146,Louisiana Tech,CUSA,12-10,+1.87,106.2,104.3,66.8,-.040,+1.35,105.0,103.6,+0.59
147,Radford,BSth,14-9,+1.50,103.9,102.4,65.2,-.059,-2.75,104.3,107.0,+1.56
148,Fordham,A10,17-4,+1.41,102.3,100.9,69.6,+.143,-6.77,100.5,107.3,-11.99
149,Eastern Washington,BSky,16-7,+1.38,107.7,106.3,68.7,+.113,-2.08,104.0,106.1,+1.23
